id,film_id,film,character_id,Characters,Actor,phase_id
1,1,Iron Man,1,Tony Stark/Iron Man,"Robert Downey ,Jr.",1
2,1,Iron Man,2,Rhodey,Terrence Howard,1
3,1,Iron Man,3,Obadiah Stane,Jeff Bridges,1
4,1,Iron Man,4,"Virginia ""Pepper"" Potts",Gwyneth Paltrow,1
5,2,The Incredible Hulk,5,Bruce Banner,Edward Norton,1
6,3,Iron Man 2,1,Tony Stark,"Robert Downey, Jr.",1
7,3,Iron Man 2,4,Pepper Potts,Gwyneth Paltrow,1
8,3,Iron Man 2,8,Natalie Rushman/Natasha Romanoff,Scarlett Johansson,1
9,3,Iron Man 2,9,"Lt. Col. James ""Rhodey"" Rhodes",Don Cheadle,1
10,3,Iron Man 2,10,Ivan Vanko,Mickey Rourke,1
11,4,Thor,11,Thor,Chris Hemsworth,1
12,4,Thor,12,Jane Foster,Natalie Portman,1
13,4,Thor,13,Loki,Tom Hiddleston,1
14,4,Thor,14,Odin,Anthony Hopkins,1
15,4,Thor,15,Heimdall,Idris Elba,1
16,5,Captain America: The First Avenger,16,Steve Rogers / Captain America,Chris Evans,1
17,5,Captain America: The First Avenger,17,Chester Philips,Tommy Lee Jones,1
18,5,Captain America: The First Avenger,18,Bucky Barnes,Sebastian Stan,1
19,5,Captain America: The First Avenger,19,Peggy Carter,Hayley Atwell,1
20,6,The Avengers,13,Loki,Tom Hiddleston,1
21,7,Iron Man 3,1,Tony Stark/Iron Man,"Robert Downey, Jr.",2
22,7,Iron Man 3,4,Pepper Potts,Gwyneth Paltrow,2
23,7,Iron Man 3,9,James 'Rhodey' Rhodes,Don Cheadle,2
24,7,Iron Man 3,24,Aldrich Killian,Guy Pearce,2
25,7,Iron Man 3,25,The Mandarin,Ben Kingsley,2
26,8,Thor: The Dark World,11,Thor,Chris Hemsworth,2
27,8,Thor: The Dark World,12,Jane Foster,Natalie Portman,2
28,8,Thor: The Dark World,13,Loki,Tom Hiddleston,2
29,8,Thor: The Dark World,14,Odin,Anthony Hopkins,2
30,8,Thor: The Dark World,15,Heimdall,Idris Elba,2
31,8,Thor: The Dark World,31,Malekith the Accursed,Christopher Eccleston,2
32,8,Thor: The Dark World,32,Sif,Jaimie Alexander,2
33,9,Captain America: The Winter Soldier,16,Captain America/Steve Rogers,Chris Evans,2
34,9,Captain America: The Winter Soldier,8,Natasha Romanoff/Black Widow,Scarlett Johansson,2
35,9,Captain America: The Winter Soldier,18,Bucky Barnes/Winter Soldier,Sebastian Stan,2
36,9,Captain America: The Winter Soldier,36,Agent Alexander Pierce,Robert Redford,2
37,9,Captain America: The Winter Soldier,37,Nick Fury,Samuel L. Jackson,2
38,10,Guardians of the Galaxy,38,Peter Quill,Chris Pratt,2
39,10,Guardians of the Galaxy,39,Gamora,Zoe Saldana,2
40,10,Guardians of the Galaxy,40,Drax,Dave Bautista,2
41,10,Guardians of the Galaxy,41,Groot,Vin Diesel,2
42,10,Guardians of the Galaxy,42,Rocket,Bradley Cooper,2
43,11,Avengers: Age of Ultron,43,Ultron,James Spader,2
44,12,Ant-Man,44,Scott Lang / Ant-Man,Paul Rudd,2
45,12,Ant-Man,45,Hope Van Dyne,Evangeline Lilly,2
46,12,Ant-Man,46,Darren Cross / Yellowjacket,Corey Stoll,2
47,12,Ant-Man,47,Paxton,Bobby Cannavale,2
48,12,Ant-Man,48,Luis,Michael Peña,2
49,12,Ant-Man,49,Dr Hank Pym / Ant-Man,Michael Douglas,2
50,13,Captain America: Civil War,16,Steve Rogers/Captain America,Chris Evans,3
51,13,Captain America: Civil War,1,Tony Stark/Iron Man,"Robert Downey, Jr.",3
52,13,Captain America: Civil War,8,Natasha Romanoff / Black Widow,Scarlett Johansson,3
53,13,Captain America: Civil War,18,Bucky Barnes/Winter Soldier,Sebastian Stan,3
54,13,Captain America: Civil War,54,Clint Barton/Hawkeye,Jeremy Renner,3
55,13,Captain America: Civil War,9,James Rhodes/War Machine,Don Cheadle,3
56,13,Captain America: Civil War,56,Sam Wilson/Falcon,Anthony Mackie,3
57,13,Captain America: Civil War,57,Vision,Paul Bettany,3
58,13,Captain America: Civil War,58,Wanda Maximoff/Scarlet Witch,Elizabeth Olsen,3
59,13,Captain America: Civil War,59,T'Challa/Black Panther,Chadwick Boseman,3
60,14,Doctor Strange,60,Doctor Stephen Strange,Benedict Cumberbatch,3
61,14,Doctor Strange,61,Baron Mordo,Chiwetel Ejiofor,3
62,14,Doctor Strange,62,Dr. Christine Palmer,Rachel McAdams,3
63,14,Doctor Strange,63,Master Wong,Benedict Wong,3
64,14,Doctor Strange,64,Kaecilius,Mads Mikkelsen,3
65,14,Doctor Strange,65,The Ancient One,Tilda Swinton,3
66,15,Guardians of the Galaxy Vol. 2,38,Peter Quill/Star-Lord,Chris Pratt,3
67,15,Guardians of the Galaxy Vol. 2,39,Gamora,Zoe Saldana,3
68,15,Guardians of the Galaxy Vol. 2,40,Drax the Destroyer,Dave Bautista,3
69,15,Guardians of the Galaxy Vol. 2,41,Baby Groot,Vin Diesel,3
70,15,Guardians of the Galaxy Vol. 2,42,Rocket,Bradley Cooper,3
71,15,Guardians of the Galaxy Vol. 2,71,Yondu Udonta,Michael Rooker,3
72,15,Guardians of the Galaxy Vol. 2,72,Ego,Kurt Russell,3
73,15,Guardians of the Galaxy Vol. 2,73,Nebula,Karen Gillan,3
74,15,Guardians of the Galaxy Vol. 2,74,Mantis,Pom Klementieff,3
75,15,Guardians of the Galaxy Vol. 2,75,Ayesha,Elizabeth Debicki,3
76,16,Spider-Man: Homecoming,76,Peter Parker / Spider-Man,Tom Holland,3
77,16,Spider-Man: Homecoming,77,Adrian Toomes/Vulture,Michael Keaton,3
78,16,Spider-Man: Homecoming,78,Michelle,Zendaya,3
79,16,Spider-Man: Homecoming,79,Happy Hogan,Jon Favreau,3
80,16,Spider-Man: Homecoming,80,Aunt May,Marisa Tomei,3
81,16,Spider-Man: Homecoming,1,Tony Stark/Iron Man,"Robert Downey, Jr.",3
82,17,Thor: Ragnarok,11,Thor,Chris Hemsworth,3
83,17,Thor: Ragnarok,13,Loki,Tom Hiddleston,3
84,17,Thor: Ragnarok,84,Hela,Cate Blanchett,3
85,17,Thor: Ragnarok,15,Heimdall,Idris Elba,3
86,17,Thor: Ragnarok,86,Grandmaster,Jeff Goldblum,3
87,17,Thor: Ragnarok,87,Valkyrie,Tessa Thompson,3
88,17,Thor: Ragnarok,88,Skurge,Karl Urban,3
89,17,Thor: Ragnarok,89,Bruce Banner/Hulk,Mark Ruffalo,3
90,17,Thor: Ragnarok,14,Odin,Anthony Hopkins,3
91,18,Black Panther,59,T’Challa/Black Panther,Chadwick Boseman,3
92,18,Black Panther,92,Erik Killmonger,Michael B. Jordan,3
93,18,Black Panther,93,Nakia,Lupita Nyong'o,3
94,18,Black Panther,94,Okoye,Danai Gurira,3
95,18,Black Panther,95,Everett K. Ross,Martin Freeman,3
96,18,Black Panther,96,Ramonda,Angela Bassett,3
97,18,Black Panther,97,Zuri,Forest Whitaker,3
98,18,Black Panther,98,Ulysses Klaue,Andy Serkis,3
99,18,Black Panther,99,W’Kabi,Daniel Kaluuya,3
100,18,Black Panther,100,Shuri,Letitia Wright,3
101,19,Avengers: Infinity Warr,1,Tony Stark/Iron Man,"Robert Downey, Jr.",3
102,19,Avengers: Infinity Warr,11,Thor,Chris Hemsworth,3
103,19,Avengers: Infinity Warr,89,Bruce Banner/Hulk,Mark Ruffalo,3
104,19,Avengers: Infinity Warr,16,Steve Rogers,Chris Evans,3
105,19,Avengers: Infinity Warr,8,Natasha Romanoff/Black Widow,Scarlett Johansson,3
